case_id,scenario,target_size,sequence_a_length,sequence_b_length,algorithm,median_time_ms,score,runs,warmup
random_1_n600,random_uniform,600,600,600,PyPy,7.8248,266,10,2
homologous_0_n800,homologous_region,800,800,800,PyPy,23.59525,1484,10,2
homologous_1_n800,homologous_region,800,800,800,PyPy,15.61325,1486,10,2
indel_0_n800,indel_disruption,800,800,900,PyPy,15.72145,1400,10,2
indel_1_n800,indel_disruption,800,800,700,PyPy,11.5328,1197,10,2
motif_0_n800,conserved_motif,800,800,800,PyPy,11.8871,376,10,2
motif_1_n800,conserved_motif,800,800,800,PyPy,11.5909,365,10,2
contained_0_n800,contained_fragment,800,400,866,PyPy,6.8408,800,10,2
contained_1_n800,contained_fragment,800,400,866,PyPy,6.6897,800,10,2
random_0_n800,random_uniform,800,800,800,PyPy,11.5191,343,10,2
random_1_n800,random_uniform,800,800,800,PyPy,11.53915,343,10,2
homologous_0_n1000,homologous_region,1000,1000,1000,PyPy,19.83545,1865,10,2
homologous_1_n1000,homologous_region,1000,1000,1000,PyPy,19.5607,1853,10,2
indel_0_n1000,indel_disruption,1000,1000,1125,PyPy,22.1706,1750,10,2
indel_1_n1000,indel_disruption,1000,1000,875,PyPy,16.71845,1497,10,2
motif_0_n1000,conserved_motif,1000,1000,1000,PyPy,18.0595,592,10,2
motif_1_n1000,conserved_motif,1000,1000,1000,PyPy,17.36295,466,10,2
contained_0_n1000,contained_fragment,1000,500,1083,PyPy,10.66735,1000,10,2
contained_1_n1000,contained_fragment,1000,500,1083,PyPy,10.54855,1000,10,2
random_0_n1000,random_uniform,1000,1000,1000,PyPy,17.6519,444,10,2
random_1_n1000,random_uniform,1000,1000,1000,PyPy,17.3799,428,10,2
homologous_0_n100,homologous_region,100,100,100,Cython,0.6955,185,10,2
homologous_1_n100,homologous_region,100,100,100,Cython,0.70925,185,10,2
indel_0_n100,indel_disruption,100,100,112,Cython,0.79155,176,10,2
indel_1_n100,indel_disruption,100,100,88,Cython,0.6213,149,10,2
motif_0_n100,conserved_motif,100,100,100,Cython,0.70935,62,10,2
motif_1_n100,conserved_motif,100,100,100,Cython,0.72555,65,10,2
contained_0_n100,contained_fragment,100,50,108,Cython,0.37495,100,10,2
contained_1_n100,contained_fragment,100,50,108,Cython,0.3781,100,10,2
random_0_n100,random_uniform,100,100,100,Cython,0.75925,44,10,2
random_1_n100,random_uniform,100,100,100,Cython,0.69525,45,10,2
homologous_0_n200,homologous_region,200,200,200,Cython,2.8039,370,10,2
homologous_1_n200,homologous_region,200,200,200,Cython,2.70705,373,10,2
indel_0_n200,indel_disruption,200,200,225,Cython,3.1963,350,10,2
indel_1_n200,indel_disruption,200,200,175,Cython,2.4676,297,10,2
motif_0_n200,conserved_motif,200,200,200,Cython,2.6549,130,10,2
motif_1_n200,conserved_motif,200,200,200,Cython,2.6227,119,10,2
contained_0_n200,contained_fragment,200,100,216,Cython,1.48195,200,10,2
contained_1_n200,contained_fragment,200,100,216,Cython,1.47825,200,10,2
random_0_n200,random_uniform,200,200,200,Cython,2.803,84,10,2
random_1_n200,random_uniform,200,200,200,Cython,2.6341,86,10,2
homologous_0_n400,homologous_region,400,400,400,Cython,11.83715,740,10,2
homologous_1_n400,homologous_region,400,400,400,Cython,11.32545,740,10,2
indel_0_n400,indel_disruption,400,400,450,Cython,12.42235,700,10,2
indel_1_n400,indel_disruption,400,400,350,Cython,11.02615,597,10,2
motif_0_n400,conserved_motif,400,400,400,Cython,13.9188,167,10,2
motif_1_n400,conserved_motif,400,400,400,Cython,11.6187,246,10,2
contained_0_n400,contained_fragment,400,200,433,Cython,5.95945,400,10,2
contained_1_n400,contained_fragment,400,200,433,Cython,5.91445,400,10,2
random_0_n400,random_uniform,400,400,400,Cython,10.29385,178,10,2
random_1_n400,random_uniform,400,400,400,Cython,9.78985,172,10,2
homologous_0_n600,homologous_region,600,600,600,Cython,23.9889,1116,10,2
homologous_1_n600,homologous_region,600,600,600,Cython,23.61955,1110,10,2
indel_0_n600,indel_disruption,600,600,675,Cython,26.529,1050,10,2
indel_1_n600,indel_disruption,600,600,525,Cython,19.7398,897,10,2
motif_0_n600,conserved_motif,600,600,600,Cython,20.9575,344,10,2
motif_1_n600,conserved_motif,600,600,600,Cython,20.33675,264,10,2
contained_0_n600,contained_fragment,600,300,650,Cython,11.47285,600,10,2
contained_1_n600,contained_fragment,600,300,650,Cython,11.82105,600,10,2
random_0_n600,random_uniform,600,600,600,Cython,17.7923,266,10,2
random_1_n600,random_uniform,600,600,600,Cython,20.328,266,10,2
homologous_0_n800,homologous_region,800,800,800,Cython,42.5564,1484,10,2
homologous_1_n800,homologous_region,800,800,800,Cython,43.84315,1486,10,2
indel_0_n800,indel_disruption,800,800,900,Cython,47.00625,1400,10,2
indel_1_n800,indel_disruption,800,800,700,Cython,38.9243,1197,10,2
motif_0_n800,conserved_motif,800,800,800,Cython,35.4955,376,10,2
motif_1_n800,conserved_motif,800,800,800,Cython,37.85285,365,10,2
contained_0_n800,contained_fragment,800,400,866,Cython,21.2006,800,10,2
contained_1_n800,contained_fragment,800,400,866,Cython,21.39165,800,10,2
random_0_n800,random_uniform,800,800,800,Cython,37.47755,343,10,2
random_1_n800,random_uniform,800,800,800,Cython,35.51845,343,10,2
homologous_0_n1000,homologous_region,1000,1000,1000,Cython,67.2707,1865,10,2
homologous_1_n1000,homologous_region,1000,1000,1000,Cython,67.9406,1853,10,2
indel_0_n1000,indel_disruption,1000,1000,1125,Cython,77.0799,1750,10,2
indel_1_n1000,indel_disruption,1000,1000,875,Cython,56.92075,1497,10,2
motif_0_n1000,conserved_motif,1000,1000,1000,Cython,63.1335,592,10,2
motif_1_n1000,conserved_motif,1000,1000,1000,Cython,60.22835,466,10,2
contained_0_n1000,contained_fragment,1000,500,1083,Cython,31.6353,1000,10,2
contained_1_n1000,contained_fragment,1000,500,1083,Cython,33.77955,1000,10,2
random_0_n1000,random_uniform,1000,1000,1000,Cython,58.9174,444,10,2
random_1_n1000,random_uniform,1000,1000,1000,Cython,59.4815,428,10,2
