case_id,scenario,target_size,sequence_a_length,sequence_b_length,algorithm,median_time_ms,score,runs,warmup
contained_4_n500,contained_fragment,500,250,541,CPython,28.3543,500,10,2
contained_5_n500,contained_fragment,500,250,541,CPython,28.1916,500,10,2
contained_6_n500,contained_fragment,500,250,541,CPython,28.262,500,10,2
contained_7_n500,contained_fragment,500,250,541,CPython,28.41975,500,10,2
contained_8_n500,contained_fragment,500,250,541,CPython,28.2668,500,10,2
contained_9_n500,contained_fragment,500,250,541,CPython,28.29265,500,10,2
random_0_n500,random_uniform,500,500,500,CPython,52.7393,246,10,2
random_1_n500,random_uniform,500,500,500,CPython,51.51145,200,10,2
random_2_n500,random_uniform,500,500,500,CPython,53.73995,228,10,2
random_3_n500,random_uniform,500,500,500,CPython,51.5121,202,10,2
random_4_n500,random_uniform,500,500,500,CPython,51.40625,224,10,2
random_5_n500,random_uniform,500,500,500,CPython,51.7494,234,10,2
random_6_n500,random_uniform,500,500,500,CPython,51.4456,202,10,2
random_7_n500,random_uniform,500,500,500,CPython,51.43205,226,10,2
random_8_n500,random_uniform,500,500,500,CPython,51.61115,220,10,2
random_9_n500,random_uniform,500,500,500,CPython,51.646,205,10,2
homologous_0_n800,homologous_region,800,800,800,CPython,145.7436,1484,10,2
homologous_1_n800,homologous_region,800,800,800,CPython,151.49585,1486,10,2
homologous_2_n800,homologous_region,800,800,800,CPython,145.74295,1492,10,2
homologous_3_n800,homologous_region,800,800,800,CPython,142.86785,1481,10,2
homologous_4_n800,homologous_region,800,800,800,CPython,146.1367,1483,10,2
homologous_5_n800,homologous_region,800,800,800,CPython,146.0594,1486,10,2
homologous_6_n800,homologous_region,800,800,800,CPython,146.6044,1486,10,2
homologous_7_n800,homologous_region,800,800,800,CPython,146.18615,1483,10,2
homologous_8_n800,homologous_region,800,800,800,CPython,146.20045,1480,10,2
homologous_9_n800,homologous_region,800,800,800,CPython,146.17285,1487,10,2
indel_0_n800,indel_disruption,800,800,900,CPython,167.5911,1400,10,2
indel_1_n800,indel_disruption,800,800,700,CPython,128.02635,1197,10,2
indel_2_n800,indel_disruption,800,800,900,CPython,167.54895,1400,10,2
indel_3_n800,indel_disruption,800,800,700,CPython,127.0549,1200,10,2
indel_4_n800,indel_disruption,800,800,900,CPython,167.82535,1400,10,2
indel_5_n800,indel_disruption,800,800,700,CPython,128.24135,1197,10,2
indel_6_n800,indel_disruption,800,800,900,CPython,168.14905,1400,10,2
indel_7_n800,indel_disruption,800,800,700,CPython,131.1762,1197,10,2
indel_8_n800,indel_disruption,800,800,900,CPython,168.02455,1400,10,2
indel_9_n800,indel_disruption,800,800,700,CPython,128.5877,1197,10,2
motif_0_n800,conserved_motif,800,800,800,CPython,142.6761,376,10,2
motif_1_n800,conserved_motif,800,800,800,CPython,141.61545,365,10,2
motif_2_n800,conserved_motif,800,800,800,CPython,146.467,556,10,2
motif_3_n800,conserved_motif,800,800,800,CPython,143.72225,504,10,2
motif_4_n800,conserved_motif,800,800,800,CPython,144.4657,544,10,2
motif_5_n800,conserved_motif,800,800,800,CPython,151.50705,516,10,2
motif_6_n800,conserved_motif,800,800,800,CPython,143.6455,476,10,2
motif_7_n800,conserved_motif,800,800,800,CPython,143.3193,537,10,2
motif_8_n800,conserved_motif,800,800,800,CPython,146.0855,512,10,2
motif_9_n800,conserved_motif,800,800,800,CPython,139.8175,398,10,2
contained_0_n800,contained_fragment,800,400,866,CPython,77.9951,800,10,2
contained_1_n800,contained_fragment,800,400,866,CPython,78.279,800,10,2
contained_2_n800,contained_fragment,800,400,866,CPython,77.79645,800,10,2
contained_3_n800,contained_fragment,800,400,866,CPython,78.47295,800,10,2
contained_4_n800,contained_fragment,800,400,866,CPython,78.1108,800,10,2
contained_5_n800,contained_fragment,800,400,866,CPython,78.60945,800,10,2
contained_6_n800,contained_fragment,800,400,866,CPython,78.8476,800,10,2
contained_7_n800,contained_fragment,800,400,866,CPython,77.40485,800,10,2
contained_8_n800,contained_fragment,800,400,866,CPython,76.96515,800,10,2
contained_9_n800,contained_fragment,800,400,866,CPython,78.31585,800,10,2
random_0_n800,random_uniform,800,800,800,CPython,140.4468,343,10,2
random_1_n800,random_uniform,800,800,800,CPython,141.15045,343,10,2
random_2_n800,random_uniform,800,800,800,CPython,145.2887,381,10,2
random_3_n800,random_uniform,800,800,800,CPython,145.25165,366,10,2
random_4_n800,random_uniform,800,800,800,CPython,144.75955,359,10,2
random_5_n800,random_uniform,800,800,800,CPython,143.77435,348,10,2
random_6_n800,random_uniform,800,800,800,CPython,144.03935,349,10,2
random_7_n800,random_uniform,800,800,800,CPython,140.57695,352,10,2
random_8_n800,random_uniform,800,800,800,CPython,143.7991,335,10,2
random_9_n800,random_uniform,800,800,800,CPython,191.0363,377,10,2
homologous_0_n1000,homologous_region,1000,1000,1000,CPython,277.0936,1865,10,2
homologous_1_n1000,homologous_region,1000,1000,1000,CPython,270.81735,1853,10,2
homologous_2_n1000,homologous_region,1000,1000,1000,CPython,244.11035,1850,10,2
homologous_3_n1000,homologous_region,1000,1000,1000,CPython,243.145,1853,10,2
homologous_4_n1000,homologous_region,1000,1000,1000,CPython,248.3387,1850,10,2
homologous_5_n1000,homologous_region,1000,1000,1000,CPython,238.8984,1862,10,2
homologous_6_n1000,homologous_region,1000,1000,1000,CPython,242.7561,1850,10,2
homologous_7_n1000,homologous_region,1000,1000,1000,CPython,240.23865,1856,10,2
homologous_8_n1000,homologous_region,1000,1000,1000,CPython,241.3575,1850,10,2
homologous_9_n1000,homologous_region,1000,1000,1000,CPython,241.09005,1850,10,2
indel_0_n1000,indel_disruption,1000,1000,1125,CPython,274.3968,1750,10,2
indel_1_n1000,indel_disruption,1000,1000,875,CPython,208.25045,1497,10,2
indel_2_n1000,indel_disruption,1000,1000,1125,CPython,272.99895,1750,10,2
indel_3_n1000,indel_disruption,1000,1000,875,CPython,208.04475,1497,10,2
indel_4_n1000,indel_disruption,1000,1000,1125,CPython,273.8357,1750,10,2
indel_5_n1000,indel_disruption,1000,1000,875,CPython,208.00725,1497,10,2
indel_6_n1000,indel_disruption,1000,1000,1125,CPython,272.85015,1750,10,2
indel_7_n1000,indel_disruption,1000,1000,875,CPython,207.6337,1497,10,2
indel_8_n1000,indel_disruption,1000,1000,1125,CPython,273.90375,1750,10,2
indel_9_n1000,indel_disruption,1000,1000,875,CPython,213.7077,1500,10,2
motif_0_n1000,conserved_motif,1000,1000,1000,CPython,239.866,592,10,2
motif_1_n1000,conserved_motif,1000,1000,1000,CPython,233.16735,466,10,2
motif_2_n1000,conserved_motif,1000,1000,1000,CPython,240.8253,516,10,2
motif_3_n1000,conserved_motif,1000,1000,1000,CPython,235.89605,577,10,2
motif_4_n1000,conserved_motif,1000,1000,1000,CPython,238.78995,558,10,2
motif_5_n1000,conserved_motif,1000,1000,1000,CPython,242.62265,616,10,2
motif_6_n1000,conserved_motif,1000,1000,1000,CPython,239.77085,656,10,2
motif_7_n1000,conserved_motif,1000,1000,1000,CPython,239.53675,496,10,2
motif_8_n1000,conserved_motif,1000,1000,1000,CPython,237.0299,608,10,2
motif_9_n1000,conserved_motif,1000,1000,1000,CPython,241.51155,554,10,2
contained_0_n1000,contained_fragment,1000,500,1083,CPython,129.9545,1000,10,2
contained_1_n1000,contained_fragment,1000,500,1083,CPython,129.9985,1000,10,2
contained_2_n1000,contained_fragment,1000,500,1083,CPython,126.56485,1000,10,2
contained_3_n1000,contained_fragment,1000,500,1083,CPython,129.245,1000,10,2
contained_4_n1000,contained_fragment,1000,500,1083,CPython,129.2083,1000,10,2
contained_5_n1000,contained_fragment,1000,500,1083,CPython,130.55635,1000,10,2
contained_6_n1000,contained_fragment,1000,500,1083,CPython,129.8228,1000,10,2
contained_7_n1000,contained_fragment,1000,500,1083,CPython,126.38535,1000,10,2
contained_8_n1000,contained_fragment,1000,500,1083,CPython,126.6716,1000,10,2
contained_9_n1000,contained_fragment,1000,500,1083,CPython,129.2908,1000,10,2
random_0_n1000,random_uniform,1000,1000,1000,CPython,238.56855,444,10,2
random_1_n1000,random_uniform,1000,1000,1000,CPython,238.61475,428,10,2
random_2_n1000,random_uniform,1000,1000,1000,CPython,237.9582,436,10,2
random_3_n1000,random_uniform,1000,1000,1000,CPython,232.90125,434,10,2
random_4_n1000,random_uniform,1000,1000,1000,CPython,238.44125,431,10,2
random_5_n1000,random_uniform,1000,1000,1000,CPython,235.0943,455,10,2
random_6_n1000,random_uniform,1000,1000,1000,CPython,239.4927,451,10,2
random_7_n1000,random_uniform,1000,1000,1000,CPython,243.405,427,10,2
random_8_n1000,random_uniform,1000,1000,1000,CPython,249.802,456,10,2
random_9_n1000,random_uniform,1000,1000,1000,CPython,242.187,449,10,2
homologous_0_n2000,homologous_region,2000,2000,2000,CPython,1048.14975,3715,10,2
homologous_1_n2000,homologous_region,2000,2000,2000,CPython,1045.9441,3730,10,2
homologous_2_n2000,homologous_region,2000,2000,2000,CPython,1717.68045,3706,10,2
homologous_3_n2000,homologous_region,2000,2000,2000,CPython,1810.7697,3710,10,2
homologous_4_n2000,homologous_region,2000,2000,2000,CPython,1599.73335,3709,10,2
homologous_5_n2000,homologous_region,2000,2000,2000,CPython,1596.15555,3709,10,2
homologous_6_n2000,homologous_region,2000,2000,2000,CPython,1295.80815,3709,10,2
homologous_7_n2000,homologous_region,2000,2000,2000,CPython,1342.621,3704,10,2
homologous_8_n2000,homologous_region,2000,2000,2000,CPython,1381.58845,3715,10,2
homologous_9_n2000,homologous_region,2000,2000,2000,CPython,1412.88515,3712,10,2
indel_0_n2000,indel_disruption,2000,2000,2250,CPython,1620.4279,3500,10,2
indel_1_n2000,indel_disruption,2000,2000,1750,CPython,1230.9362,2997,10,2
indel_2_n2000,indel_disruption,2000,2000,2250,CPython,1613.25165,3500,10,2
indel_3_n2000,indel_disruption,2000,2000,1750,CPython,1191.4411,2997,10,2
indel_4_n2000,indel_disruption,2000,2000,2250,CPython,1596.3101,3500,10,2
indel_5_n2000,indel_disruption,2000,2000,1750,CPython,1205.01155,2997,10,2
indel_6_n2000,indel_disruption,2000,2000,2250,CPython,1537.6056,3500,10,2
indel_7_n2000,indel_disruption,2000,2000,1750,CPython,1163.8984,2997,10,2
indel_8_n2000,indel_disruption,2000,2000,2250,CPython,1170.19865,3500,10,2
indel_9_n2000,indel_disruption,2000,2000,1750,CPython,894.9866,3000,10,2
motif_0_n2000,conserved_motif,2000,2000,2000,CPython,1022.21805,1240,10,2
motif_1_n2000,conserved_motif,2000,2000,2000,CPython,1233.6529,1200,10,2
motif_2_n2000,conserved_motif,2000,2000,2000,CPython,1209.66925,1325,10,2
motif_3_n2000,conserved_motif,2000,2000,2000,CPython,1048.28,1231,10,2
motif_4_n2000,conserved_motif,2000,2000,2000,CPython,1043.36155,897,10,2
motif_5_n2000,conserved_motif,2000,2000,2000,CPython,1046.90015,1390,10,2
motif_6_n2000,conserved_motif,2000,2000,2000,CPython,1035.8112,865,10,2
motif_7_n2000,conserved_motif,2000,2000,2000,CPython,1043.29365,1376,10,2
motif_8_n2000,conserved_motif,2000,2000,2000,CPython,1038.3598,1309,10,2
motif_9_n2000,conserved_motif,2000,2000,2000,CPython,1042.87745,1358,10,2
contained_0_n2000,contained_fragment,2000,1000,2166,CPython,554.09495,2000,10,2
contained_1_n2000,contained_fragment,2000,1000,2166,CPython,559.87395,2000,10,2
contained_2_n2000,contained_fragment,2000,1000,2166,CPython,554.4563,2000,10,2
contained_3_n2000,contained_fragment,2000,1000,2166,CPython,555.25195,2000,10,2
contained_4_n2000,contained_fragment,2000,1000,2166,CPython,553.807,2000,10,2
contained_5_n2000,contained_fragment,2000,1000,2166,CPython,555.0322,2000,10,2
contained_6_n2000,contained_fragment,2000,1000,2166,CPython,547.58995,2000,10,2
contained_7_n2000,contained_fragment,2000,1000,2166,CPython,544.4961,2000,10,2
contained_8_n2000,contained_fragment,2000,1000,2166,CPython,545.3297,2000,10,2
contained_9_n2000,contained_fragment,2000,1000,2166,CPython,545.76495,2000,10,2
random_0_n2000,random_uniform,2000,2000,2000,CPython,1027.7553,918,10,2
random_1_n2000,random_uniform,2000,2000,2000,CPython,1031.72695,900,10,2
random_2_n2000,random_uniform,2000,2000,2000,CPython,1032.3206,882,10,2
random_3_n2000,random_uniform,2000,2000,2000,CPython,1036.3075,942,10,2
random_4_n2000,random_uniform,2000,2000,2000,CPython,1042.1221,882,10,2
random_5_n2000,random_uniform,2000,2000,2000,CPython,1030.3973,871,10,2
random_6_n2000,random_uniform,2000,2000,2000,CPython,1049.21695,872,10,2
random_7_n2000,random_uniform,2000,2000,2000,CPython,1038.5894,889,10,2
random_8_n2000,random_uniform,2000,2000,2000,CPython,1036.4895,893,10,2
random_9_n2000,random_uniform,2000,2000,2000,CPython,1028.4591,869,10,2
homologous_0_n5000,homologous_region,5000,5000,5000,CPython,6675.4671,9268,10,2
homologous_1_n5000,homologous_region,5000,5000,5000,CPython,6696.4925,9280,10,2
homologous_2_n5000,homologous_region,5000,5000,5000,CPython,6737.28315,9271,10,2
homologous_3_n5000,homologous_region,5000,5000,5000,CPython,6727.51055,9307,10,2
homologous_4_n5000,homologous_region,5000,5000,5000,CPython,6745.79405,9277,10,2
homologous_5_n5000,homologous_region,5000,5000,5000,CPython,6709.24945,9277,10,2
homologous_6_n5000,homologous_region,5000,5000,5000,CPython,6695.0602,9274,10,2
homologous_7_n5000,homologous_region,5000,5000,5000,CPython,6675.68345,9268,10,2
homologous_8_n5000,homologous_region,5000,5000,5000,CPython,6726.07385,9266,10,2
homologous_9_n5000,homologous_region,5000,5000,5000,CPython,6726.06525,9268,10,2
indel_0_n5000,indel_disruption,5000,5000,5625,CPython,7558.5419,8750,10,2
indel_1_n5000,indel_disruption,5000,5000,4375,CPython,5835.60635,7497,10,2
indel_2_n5000,indel_disruption,5000,5000,5625,CPython,7554.82835,8750,10,2
indel_3_n5000,indel_disruption,5000,5000,4375,CPython,5835.71325,7500,10,2
indel_4_n5000,indel_disruption,5000,5000,5625,CPython,7580.5068,8750,10,2
indel_5_n5000,indel_disruption,5000,5000,4375,CPython,5851.0057,7497,10,2
indel_6_n5000,indel_disruption,5000,5000,5625,CPython,7570.322,8750,10,2
indel_7_n5000,indel_disruption,5000,5000,4375,CPython,5849.31405,7497,10,2
indel_8_n5000,indel_disruption,5000,5000,5625,CPython,7576.58025,8750,10,2
indel_9_n5000,indel_disruption,5000,5000,4375,CPython,5868.7179,7497,10,2
motif_0_n5000,conserved_motif,5000,5000,5000,CPython,6703.43915,2492,10,2
motif_1_n5000,conserved_motif,5000,5000,5000,CPython,6764.04425,3199,10,2
motif_2_n5000,conserved_motif,5000,5000,5000,CPython,6715.2277,3386,10,2
motif_3_n5000,conserved_motif,5000,5000,5000,CPython,6721.15395,2085,10,2
motif_4_n5000,conserved_motif,5000,5000,5000,CPython,6715.6131,3438,10,2
motif_5_n5000,conserved_motif,5000,5000,5000,CPython,6718.47585,2194,10,2
motif_6_n5000,conserved_motif,5000,5000,5000,CPython,6732.63505,2127,10,2
motif_7_n5000,conserved_motif,5000,5000,5000,CPython,6718.94245,2633,10,2
motif_8_n5000,conserved_motif,5000,5000,5000,CPython,6706.2178,3340,10,2
motif_9_n5000,conserved_motif,5000,5000,5000,CPython,6699.5775,2758,10,2
contained_0_n5000,contained_fragment,5000,2500,5416,CPython,3607.23525,5000,10,2
contained_1_n5000,contained_fragment,5000,2500,5416,CPython,3639.5835,5000,10,2
contained_2_n5000,contained_fragment,5000,2500,5416,CPython,3610.2138,5000,10,2
contained_3_n5000,contained_fragment,5000,2500,5416,CPython,3610.57125,5000,10,2
contained_4_n5000,contained_fragment,5000,2500,5416,CPython,3647.0856,5000,10,2
contained_5_n5000,contained_fragment,5000,2500,5416,CPython,3584.99625,5000,10,2
contained_6_n5000,contained_fragment,5000,2500,5416,CPython,3582.78925,5000,10,2
contained_7_n5000,contained_fragment,5000,2500,5416,CPython,3580.23655,5000,10,2
contained_8_n5000,contained_fragment,5000,2500,5416,CPython,3595.70235,5000,10,2
contained_9_n5000,contained_fragment,5000,2500,5416,CPython,3600.5603,5000,10,2
random_0_n5000,random_uniform,5000,5000,5000,CPython,6739.4577,2221,10,2
random_1_n5000,random_uniform,5000,5000,5000,CPython,6775.4693,2246,10,2
random_2_n5000,random_uniform,5000,5000,5000,CPython,6753.91925,2310,10,2
random_3_n5000,random_uniform,5000,5000,5000,CPython,6728.3301,2249,10,2
random_4_n5000,random_uniform,5000,5000,5000,CPython,6723.28135,2208,10,2
random_5_n5000,random_uniform,5000,5000,5000,CPython,6718.53815,2232,10,2
random_6_n5000,random_uniform,5000,5000,5000,CPython,6761.64195,2217,10,2
random_7_n5000,random_uniform,5000,5000,5000,CPython,6722.464,2220,10,2
random_8_n5000,random_uniform,5000,5000,5000,CPython,6743.9491,2199,10,2
random_9_n5000,random_uniform,5000,5000,5000,CPython,6729.13255,2216,10,2
homologous_0_n8000,homologous_region,8000,8000,8000,CPython,17464.62015,14836,10,2
homologous_1_n8000,homologous_region,8000,8000,8000,CPython,17630.19205,14830,10,2
homologous_2_n8000,homologous_region,8000,8000,8000,CPython,17502.4108,14839,10,2
homologous_3_n8000,homologous_region,8000,8000,8000,CPython,17497.59475,14837,10,2
homologous_4_n8000,homologous_region,8000,8000,8000,CPython,17493.65615,14863,10,2
homologous_5_n8000,homologous_region,8000,8000,8000,CPython,17597.8411,14848,10,2
homologous_6_n8000,homologous_region,8000,8000,8000,CPython,17655.6699,14863,10,2
homologous_7_n8000,homologous_region,8000,8000,8000,CPython,17704.28355,14869,10,2
homologous_8_n8000,homologous_region,8000,8000,8000,CPython,17664.54455,14863,10,2
homologous_9_n8000,homologous_region,8000,8000,8000,CPython,17663.7567,14854,10,2
indel_0_n8000,indel_disruption,8000,8000,9000,CPython,19948.9645,14000,10,2
indel_1_n8000,indel_disruption,8000,8000,7000,CPython,15571.15595,11997,10,2
indel_2_n8000,indel_disruption,8000,8000,9000,CPython,19928.85705,14000,10,2
indel_3_n8000,indel_disruption,8000,8000,7000,CPython,15390.7085,11997,10,2
