case_id,scenario,target_size,algorithm,run_index,is_warmup,time_ms
indel_3_n100,indel_disruption,100,CPython,9,False,1.8713
indel_3_n100,indel_disruption,100,CPython,10,False,1.4999
indel_3_n100,indel_disruption,100,CPython,11,False,1.473
indel_4_n100,indel_disruption,100,CPython,0,True,1.954
indel_4_n100,indel_disruption,100,CPython,1,True,2.0225
indel_4_n100,indel_disruption,100,CPython,2,False,2.0432
indel_4_n100,indel_disruption,100,CPython,3,False,2.4062
indel_4_n100,indel_disruption,100,CPython,4,False,2.1575
indel_4_n100,indel_disruption,100,CPython,5,False,2.0769
indel_4_n100,indel_disruption,100,CPython,6,False,2.0839
indel_4_n100,indel_disruption,100,CPython,7,False,2.0734
indel_4_n100,indel_disruption,100,CPython,8,False,2.1614
indel_4_n100,indel_disruption,100,CPython,9,False,2.0732
indel_4_n100,indel_disruption,100,CPython,10,False,2.1676
indel_4_n100,indel_disruption,100,CPython,11,False,2.3431
indel_5_n100,indel_disruption,100,CPython,0,True,1.6579
indel_5_n100,indel_disruption,100,CPython,1,True,1.66
indel_5_n100,indel_disruption,100,CPython,2,False,1.6131
indel_5_n100,indel_disruption,100,CPython,3,False,1.6437
indel_5_n100,indel_disruption,100,CPython,4,False,1.6679
indel_5_n100,indel_disruption,100,CPython,5,False,1.6775
indel_5_n100,indel_disruption,100,CPython,6,False,1.6772
indel_5_n100,indel_disruption,100,CPython,7,False,1.6737
indel_5_n100,indel_disruption,100,CPython,8,False,1.8996
indel_5_n100,indel_disruption,100,CPython,9,False,1.7432
indel_5_n100,indel_disruption,100,CPython,10,False,1.6559
indel_5_n100,indel_disruption,100,CPython,11,False,1.6795
indel_6_n100,indel_disruption,100,CPython,0,True,2.0937
indel_6_n100,indel_disruption,100,CPython,1,True,2.0683
indel_6_n100,indel_disruption,100,CPython,2,False,2.0649
indel_6_n100,indel_disruption,100,CPython,3,False,1.9881
indel_6_n100,indel_disruption,100,CPython,4,False,2.0228
indel_6_n100,indel_disruption,100,CPython,5,False,2.699
indel_6_n100,indel_disruption,100,CPython,6,False,1.8701
indel_6_n100,indel_disruption,100,CPython,7,False,1.8552
indel_6_n100,indel_disruption,100,CPython,8,False,1.8662
indel_6_n100,indel_disruption,100,CPython,9,False,1.8553
indel_6_n100,indel_disruption,100,CPython,10,False,1.8512
indel_6_n100,indel_disruption,100,CPython,11,False,1.8908
indel_7_n100,indel_disruption,100,CPython,0,True,1.4784
indel_7_n100,indel_disruption,100,CPython,1,True,1.5153
indel_7_n100,indel_disruption,100,CPython,2,False,1.7121
indel_7_n100,indel_disruption,100,CPython,3,False,1.5604
indel_7_n100,indel_disruption,100,CPython,4,False,1.5248
indel_7_n100,indel_disruption,100,CPython,5,False,1.5079
indel_7_n100,indel_disruption,100,CPython,6,False,1.5386
indel_7_n100,indel_disruption,100,CPython,7,False,1.5496
indel_7_n100,indel_disruption,100,CPython,8,False,1.5849
indel_7_n100,indel_disruption,100,CPython,9,False,1.6305
indel_7_n100,indel_disruption,100,CPython,10,False,1.5453
indel_7_n100,indel_disruption,100,CPython,11,False,1.5931
indel_8_n100,indel_disruption,100,CPython,0,True,2.7036
indel_8_n100,indel_disruption,100,CPython,1,True,2.3105
indel_8_n100,indel_disruption,100,CPython,2,False,1.895
indel_8_n100,indel_disruption,100,CPython,3,False,2.0033
indel_8_n100,indel_disruption,100,CPython,4,False,2.0211
indel_8_n100,indel_disruption,100,CPython,5,False,2.0159
indel_8_n100,indel_disruption,100,CPython,6,False,2.0422
indel_8_n100,indel_disruption,100,CPython,7,False,2.0155
indel_8_n100,indel_disruption,100,CPython,8,False,2.6541
indel_8_n100,indel_disruption,100,CPython,9,False,1.9309
indel_8_n100,indel_disruption,100,CPython,10,False,1.9184
indel_8_n100,indel_disruption,100,CPython,11,False,1.855
indel_9_n100,indel_disruption,100,CPython,0,True,1.4738
indel_9_n100,indel_disruption,100,CPython,1,True,1.4748
indel_9_n100,indel_disruption,100,CPython,2,False,1.5038
indel_9_n100,indel_disruption,100,CPython,3,False,1.4732
indel_9_n100,indel_disruption,100,CPython,4,False,1.4721
indel_9_n100,indel_disruption,100,CPython,5,False,1.9568
indel_9_n100,indel_disruption,100,CPython,6,False,1.7867
indel_9_n100,indel_disruption,100,CPython,7,False,1.4935
indel_9_n100,indel_disruption,100,CPython,8,False,1.4777
indel_9_n100,indel_disruption,100,CPython,9,False,1.5027
indel_9_n100,indel_disruption,100,CPython,10,False,1.4827
indel_9_n100,indel_disruption,100,CPython,11,False,1.4782
motif_0_n100,conserved_motif,100,CPython,0,True,1.6831
motif_0_n100,conserved_motif,100,CPython,1,True,1.7061
motif_0_n100,conserved_motif,100,CPython,2,False,1.6718
motif_0_n100,conserved_motif,100,CPython,3,False,1.9742
motif_0_n100,conserved_motif,100,CPython,4,False,1.9211
motif_0_n100,conserved_motif,100,CPython,5,False,1.6855
motif_0_n100,conserved_motif,100,CPython,6,False,1.6736
motif_0_n100,conserved_motif,100,CPython,7,False,1.6811
motif_0_n100,conserved_motif,100,CPython,8,False,1.6827
motif_0_n100,conserved_motif,100,CPython,9,False,1.6767
motif_0_n100,conserved_motif,100,CPython,10,False,1.705
motif_0_n100,conserved_motif,100,CPython,11,False,1.6768
motif_1_n100,conserved_motif,100,CPython,0,True,1.6876
motif_1_n100,conserved_motif,100,CPython,1,True,2.2309
motif_1_n100,conserved_motif,100,CPython,2,False,1.7988
motif_1_n100,conserved_motif,100,CPython,3,False,1.6911
motif_1_n100,conserved_motif,100,CPython,4,False,1.6823
motif_1_n100,conserved_motif,100,CPython,5,False,1.6827
motif_1_n100,conserved_motif,100,CPython,6,False,1.6802
motif_1_n100,conserved_motif,100,CPython,7,False,1.6802
motif_1_n100,conserved_motif,100,CPython,8,False,1.7106
motif_1_n100,conserved_motif,100,CPython,9,False,1.6759
motif_1_n100,conserved_motif,100,CPython,10,False,2.7329
motif_1_n100,conserved_motif,100,CPython,11,False,1.7437
motif_2_n100,conserved_motif,100,CPython,0,True,1.6859
motif_2_n100,conserved_motif,100,CPython,1,True,1.676
motif_2_n100,conserved_motif,100,CPython,2,False,1.6802
motif_2_n100,conserved_motif,100,CPython,3,False,1.6756
motif_2_n100,conserved_motif,100,CPython,4,False,1.6737
motif_2_n100,conserved_motif,100,CPython,5,False,1.6733
motif_2_n100,conserved_motif,100,CPython,6,False,1.7031
motif_2_n100,conserved_motif,100,CPython,7,False,1.7463
motif_2_n100,conserved_motif,100,CPython,8,False,2.441
motif_2_n100,conserved_motif,100,CPython,9,False,1.8334
motif_2_n100,conserved_motif,100,CPython,10,False,1.7105
motif_2_n100,conserved_motif,100,CPython,11,False,1.7011
motif_3_n100,conserved_motif,100,CPython,0,True,1.6874
motif_3_n100,conserved_motif,100,CPython,1,True,1.6805
motif_3_n100,conserved_motif,100,CPython,2,False,1.676
motif_3_n100,conserved_motif,100,CPython,3,False,1.676
motif_3_n100,conserved_motif,100,CPython,4,False,2.258
motif_3_n100,conserved_motif,100,CPython,5,False,2.7097
motif_3_n100,conserved_motif,100,CPython,6,False,2.1376
motif_3_n100,conserved_motif,100,CPython,7,False,1.8551
motif_3_n100,conserved_motif,100,CPython,8,False,1.8905
motif_3_n100,conserved_motif,100,CPython,9,False,1.693
motif_3_n100,conserved_motif,100,CPython,10,False,1.6832
motif_3_n100,conserved_motif,100,CPython,11,False,1.8061
motif_4_n100,conserved_motif,100,CPython,0,True,1.7313
motif_4_n100,conserved_motif,100,CPython,1,True,2.2385
motif_4_n100,conserved_motif,100,CPython,2,False,2.2435
motif_4_n100,conserved_motif,100,CPython,3,False,1.6895
motif_4_n100,conserved_motif,100,CPython,4,False,1.6766
motif_4_n100,conserved_motif,100,CPython,5,False,1.675
motif_4_n100,conserved_motif,100,CPython,6,False,1.6741
motif_4_n100,conserved_motif,100,CPython,7,False,1.6733
motif_4_n100,conserved_motif,100,CPython,8,False,1.6992
motif_4_n100,conserved_motif,100,CPython,9,False,1.6723
motif_4_n100,conserved_motif,100,CPython,10,False,2.1005
motif_4_n100,conserved_motif,100,CPython,11,False,1.8166
motif_5_n100,conserved_motif,100,CPython,0,True,1.6894
motif_5_n100,conserved_motif,100,CPython,1,True,1.6759
motif_5_n100,conserved_motif,100,CPython,2,False,1.6815
motif_5_n100,conserved_motif,100,CPython,3,False,1.6725
motif_5_n100,conserved_motif,100,CPython,4,False,1.6741
motif_5_n100,conserved_motif,100,CPython,5,False,1.6741
motif_5_n100,conserved_motif,100,CPython,6,False,1.7043
motif_5_n100,conserved_motif,100,CPython,7,False,1.6749
motif_5_n100,conserved_motif,100,CPython,8,False,2.5806
motif_5_n100,conserved_motif,100,CPython,9,False,1.8778
motif_5_n100,conserved_motif,100,CPython,10,False,1.6871
motif_5_n100,conserved_motif,100,CPython,11,False,1.6809
motif_6_n100,conserved_motif,100,CPython,0,True,1.7269
motif_6_n100,conserved_motif,100,CPython,1,True,1.6813
motif_6_n100,conserved_motif,100,CPython,2,False,1.6788
motif_6_n100,conserved_motif,100,CPython,3,False,1.6769
motif_6_n100,conserved_motif,100,CPython,4,False,1.6787
motif_6_n100,conserved_motif,100,CPython,5,False,2.0588
motif_6_n100,conserved_motif,100,CPython,6,False,1.7728
motif_6_n100,conserved_motif,100,CPython,7,False,1.6786
motif_6_n100,conserved_motif,100,CPython,8,False,1.7103
motif_6_n100,conserved_motif,100,CPython,9,False,1.7797
motif_6_n100,conserved_motif,100,CPython,10,False,1.7772
motif_6_n100,conserved_motif,100,CPython,11,False,1.8076
